# Species	Genes	Alg.-Conn.	E_billingiae_protein.faa	E_gerundensis_protein.faa	E_persicina_protein.faa	E_pyrifoliae_protein.faa	E_tasmaniensis_protein.faa
5	5	0.97	WP_041692122.1	WP_067427030.1	WP_062745442.1	WP_014538538.1	WP_012442587.1
5	5	0.797	WP_041692413.1	WP_067427025.1	WP_062745778.1	WP_012666934.1	WP_012442588.1
5	5	0.967	WP_013203788.1	WP_067427022.1	WP_062745444.1	WP_012666933.1	WP_012442589.1
5	5	0.908	WP_013203787.1	WP_225701142.1	WP_062745446.1	WP_012666932.1	WP_012442590.1
5	5	0.935	WP_013200579.1	WP_225701080.1	WP_118664772.1	WP_012666929.1	WP_012442592.1
5	5	0.923	WP_013200578.1	WP_067427583.1	WP_062745496.1	WP_012666928.1	WP_012442593.1
5	5	0.939	WP_013200563.1	WP_225701725.1	WP_222681716.1	WP_012666927.1	WP_012442595.1
5	5	0.891	WP_013200409.1	WP_187486472.1	WP_222681764.1	WP_014539552.1	WP_012442760.1
5	5	0.935	WP_013200466.1	WP_067434051.1	WP_062745761.1	WP_012666845.1	WP_012442683.1
5	5	0.943	WP_013200465.1	WP_067434054.1	WP_222681735.1	WP_012666844.1	WP_012442684.1
5	5	0.948	WP_013200464.1	WP_225701311.1	WP_062745766.1	WP_012666843.1	WP_012442685.1
5	5	0.922	WP_013200463.1	WP_225701310.1	WP_062745769.1	WP_012666842.1	WP_012442686.1
5	5	0.933	WP_013200462.1	WP_067434065.1	WP_062745772.1	WP_012666841.1	WP_012442687.1
4	4	0.285	WP_013202517.1	WP_225702019.1	*	WP_012669440.1	WP_012442726.1
4	4	0.194	WP_013202518.1	WP_225702020.1	*	WP_012669441.1	WP_012442727.1
3	3	0.985	WP_013201785.1	WP_225701968.1	*	*	WP_012442740.1
3	3	0.681	*	WP_225700897.1	WP_222682342.1	*	WP_012442742.1
5	5	0.75	WP_013202037.1	WP_225701155.1	WP_062748010.1	WP_015899052.1	WP_012442743.1
5	5	0.93	WP_013200417.1	WP_209502077.1	WP_062748034.1	WP_014539543.1	WP_012442752.1
5	5	0.926	WP_041691866.1	WP_187488296.1	WP_222681763.1	WP_014539548.1	WP_012442756.1
5	5	0.935	WP_013200413.1	WP_067434130.1	WP_062748062.1	WP_014539549.1	WP_012442757.1
5	5	0.872	WP_013200412.1	WP_067434132.1	WP_062748064.1	WP_014539550.1	WP_012442758.1
5	5	0.827	WP_013200410.1	WP_225701352.1	WP_191928011.1	WP_014539551.1	WP_012442759.1
5	5	0.921	WP_012442682.1	WP_067434048.1	WP_062745758.1	WP_004160183.1	WP_012442682.1
5	5	0.882	WP_013200404.1	WP_225701300.1	WP_062748079.1	WP_014539557.1	WP_012442763.1
5	5	0.957	WP_013200403.1	WP_067434156.1	WP_062748081.1	WP_014539558.1	WP_012442764.1
5	5	0.945	WP_013200402.1	WP_225701296.1	WP_118664907.1	WP_014539560.1	WP_012442765.1
5	5	0.88	WP_013200401.1	WP_067434162.1	WP_062748086.1	WP_014542525.1	WP_012442766.1
4	4	0.962	WP_013200400.1	WP_187488327.1	WP_118664909.1	*	WP_012442767.1
4	4	0.765	WP_013200399.1	WP_067434166.1	WP_062748087.1	*	WP_012442768.1
5	5	0.969	WP_013200395.1	WP_187488303.1	WP_062748094.1	WP_014539568.1	WP_012442772.1
5	5	0.965	WP_013200394.1	WP_209501164.1	WP_062748096.1	WP_014539569.1	WP_012442773.1
5	5	0.931	WP_013200393.1	WP_225701294.1	WP_118664915.1	WP_015899060.1	WP_012442774.1
5	5	0.856	WP_013200392.1	WP_187488304.1	WP_062748100.1	WP_014539573.1	WP_012442775.1
5	5	0.927	WP_013200391.1	WP_225701293.1	WP_062748102.1	WP_014539574.1	WP_012442776.1
4	4	0.653	WP_013200385.1	WP_225701226.1	WP_222681765.1	*	WP_012442777.1
5	5	0.934	WP_013200371.1	WP_067434209.1	WP_062748288.1	WP_014539585.1	WP_012442782.1
5	5	0.966	WP_013200370.1	WP_225701291.1	WP_062748290.1	WP_014539587.1	WP_012442783.1
5	5	0.922	WP_013200358.1	WP_067434214.1	WP_062748313.1	WP_015899078.1	WP_012442786.1
5	5	0.948	WP_013200489.1	WP_067434000.1	WP_062745674.1	WP_012666865.1	WP_012442665.1
5	5	0.968	WP_013200509.1	WP_067433929.1	WP_062745630.1	WP_012666883.1	WP_012442643.1
5	5	0.944	WP_013200508.1	WP_067433935.1	WP_062745632.1	WP_012666882.1	WP_012442644.1
5	5	0.925	WP_013200506.1	WP_067433938.1	WP_062745637.1	WP_012666881.1	WP_012442646.1
4	4	0.968	WP_013200505.1	WP_225701322.1	WP_222681727.1	*	WP_012442647.1
5	5	0.959	WP_013200502.1	WP_067433954.1	WP_062745643.1	WP_004160101.1	WP_012442652.1
5	5	0.931	WP_071822094.1	WP_071852532.1	WP_072277455.1	WP_012666877.1	WP_012442653.1
5	5	0.886	WP_013200500.1	WP_067433964.1	WP_137269168.1	WP_012666875.1	WP_012442654.1
5	5	0.911	WP_013200499.1	WP_067433967.1	WP_222681728.1	WP_012666874.1	WP_012442655.1
5	5	0.661	WP_041691873.1	WP_225701321.1	WP_137269171.1	WP_104945144.1	WP_012442656.1
5	5	0.957	WP_013200497.1	WP_187486503.1	WP_062745656.1	WP_104945145.1	WP_012442657.1
5	5	0.322	WP_013200495.1	WP_067433982.1	WP_222681730.1	WP_014538516.1	WP_012442659.1
5	5	0.946	WP_013200494.1	WP_067433985.1	WP_062745663.1	WP_012666870.1	WP_012442660.1
5	5	0.954	WP_013200492.1	WP_067433991.1	WP_062745665.1	WP_012666868.1	WP_012442662.1
5	5	0.929	WP_013200491.1	WP_225701318.1	WP_062745668.1	WP_012666867.1	WP_012442663.1
5	5	0.96	WP_013200490.1	WP_067433997.1	WP_062745671.1	WP_012666866.1	WP_012442664.1
5	5	0.956	WP_013201104.1	WP_225700921.1	WP_118664508.1	WP_012668823.1	WP_012442162.1
5	5	0.96	WP_013200488.1	WP_067434003.1	WP_062745676.1	WP_012666864.1	WP_012442666.1
5	5	0.956	WP_013200487.1	WP_225701317.1	WP_062745679.1	WP_012666863.1	WP_012442667.1
5	5	0.877	WP_013200486.1	WP_225701316.1	WP_062745792.1	WP_014538513.1	WP_012442668.1
5	5	0.83	WP_013200485.1	WP_187486497.1	WP_062745682.1	WP_012666861.1	WP_012442669.1
5	5	0.888	WP_013200484.1	WP_225701315.1	WP_222681731.1	WP_104945147.1	WP_012442670.1
5	5	0.946	WP_013200482.1	WP_067434021.1	WP_062745700.1	WP_014542387.1	WP_012442671.1
5	5	0.965	WP_013200481.1	WP_225701313.1	WP_062745702.1	WP_012666855.1	WP_012442672.1
5	5	0.925	WP_013200480.1	WP_067434027.1	WP_118664829.1	WP_012666854.1	WP_012442673.1
5	5	0.953	WP_013200479.1	WP_067434030.1	WP_062745705.1	WP_012666853.1	WP_012442674.1
5	5	0.965	WP_013200478.1	WP_209501186.1	WP_062745707.1	WP_104945149.1	WP_012442675.1
5	5	0.886	WP_013200473.1	WP_067435553.1	WP_062745728.1	WP_012666851.1	WP_012442676.1
5	5	0.909	WP_013200472.1	WP_067434036.1	WP_062745730.1	WP_012666850.1	WP_012442677.1
5	5	0.919	WP_013200470.1	WP_034891518.1	WP_062745732.1	WP_012666849.1	WP_012442678.1
5	5	0.945	WP_013200469.1	WP_225701312.1	WP_062745735.1	WP_012666848.1	WP_012442679.1
5	5	0.934	WP_013200467.1	WP_067434045.1	WP_062745755.1	WP_012666846.1	WP_012442681.1
2	2	1	*	WP_225701899.1	*	*	WP_012441686.1
5	5	0.824	WP_013201706.1	WP_225701668.1	WP_222681545.1	WP_012668391.1	WP_012441698.1
5	5	0.675	WP_231853686.1	WP_067430685.1	WP_137268846.1	WP_012668390.1	WP_012441697.1
5	5	0.971	WP_013201711.1	WP_067429724.1	WP_062743673.1	WP_012668388.1	WP_012441695.1
5	5	0.953	WP_173363028.1	WP_225700763.1	WP_062743672.1	WP_012668387.1	WP_012441694.1
5	5	0.929	WP_013201713.1	WP_225700762.1	WP_062743671.1	WP_012668386.1	WP_012441693.1
5	5	0.927	WP_013201714.1	WP_067429733.1	WP_062743670.1	WP_012668385.1	WP_012441692.1
5	5	0.936	WP_013201715.1	WP_187486299.1	WP_062743669.1	WP_012668384.1	WP_012441691.1
5	5	0.817	WP_013201716.1	WP_067429739.1	WP_222681544.1	WP_012668383.1	WP_012441690.1
5	5	0.937	WP_013201702.1	WP_067429695.1	WP_137268914.1	WP_014539045.1	WP_012441699.1
2	2	1	*	WP_067436159.1	*	*	WP_012441682.1
5	5	0.936	WP_013201718.1	WP_067429745.1	WP_118664296.1	WP_012668381.1	WP_012441677.1
5	5	0.852	WP_013201731.1	WP_187488727.1	WP_062743610.1	WP_012668322.1	WP_012441667.1
5	5	0.773	WP_013201735.1	WP_067429801.1	WP_062743608.1	WP_012668321.1	WP_012441666.1
5	5	0.872	WP_013201736.1	WP_225700757.1	WP_062743607.1	WP_012668320.1	WP_012441665.1
4	4	0.803	WP_013201739.1	WP_225700754.1	WP_222681530.1	*	WP_012441663.1
5	5	0.87	WP_231853710.1	WP_225701754.1	WP_137268497.1	WP_012668317.1	WP_012441661.1
5	5	0.141	WP_013200207.1	WP_067426759.1	WP_137268498.1	WP_012668316.1	WP_012441660.1
5	5	0.917	WP_013201700.1	WP_067429692.1	WP_222681546.1	WP_012668394.1	WP_012441701.1
5	5	0.969	WP_013201699.1	WP_067429689.1	WP_137268848.1	WP_012668395.1	WP_012441702.1
5	5	0.975	WP_013201698.1	WP_209500050.1	WP_222681547.1	WP_012668396.1	WP_012441703.1
5	5	0.443	WP_231853664.1	WP_225701079.1	WP_222681548.1	WP_012668397.1	WP_012441704.1
5	5	0.915	WP_013202671.1	WP_067431689.1	WP_062743691.1	WP_012668402.1	WP_012441711.1
5	5	0.924	WP_013202673.1	WP_225701571.1	WP_062743692.1	WP_012668403.1	WP_012441712.1
5	5	0.874	WP_013202674.1	WP_067431695.1	WP_062743693.1	WP_012668404.1	WP_012441713.1
5	5	0.828	WP_013202675.1	WP_067431697.1	WP_062743694.1	WP_012668405.1	WP_012441714.1
5	5	0.853	WP_013202677.1	WP_067431702.1	WP_062743696.1	WP_012668407.1	WP_012441716.1
5	5	0.584	WP_013202678.1	WP_225701570.1	WP_222681553.1	WP_012668408.1	WP_012441717.1
5	5	0.893	WP_013202679.1	WP_225701569.1	WP_062743698.1	WP_012668409.1	WP_012441718.1
5	5	0.937	WP_013202680.1	WP_067431708.1	WP_062743699.1	WP_012668410.1	WP_012441719.1
5	5	0.937	WP_013202681.1	WP_067431711.1	WP_062743700.1	WP_012668411.1	WP_012441720.1
5	5	0.823	WP_013202682.1	WP_067431713.1	WP_062743701.1	WP_012668412.1	WP_012441721.1
5	5	0.963	WP_013202683.1	WP_173645395.1	WP_062743702.1	WP_012668413.1	WP_012441722.1
5	5	0.933	WP_013201851.1	WP_067430074.1	WP_062743556.1	WP_012668267.1	WP_012441609.1
5	5	0.906	WP_013201881.1	WP_067430154.1	WP_062743650.1	WP_012668246.1	WP_012441589.1
5	5	0.865	WP_013201877.1	WP_225700712.1	WP_062743524.1	WP_041474113.1	WP_012441592.1
5	5	0.825	WP_013201864.1	WP_209499827.1	WP_118664250.1	WP_012668251.1	WP_012441593.1
5	5	0.911	WP_013201863.1	WP_067430108.1	WP_222682325.1	WP_012668252.1	WP_012441594.1
5	5	0.845	WP_013201862.1	WP_067430105.1	WP_062743538.1	WP_012668253.1	WP_012441595.1
5	5	0.895	WP_013201857.1	WP_067430095.1	WP_062743543.1	WP_012668255.1	WP_012441597.1
4	4	0.826	*	WP_157883953.1	WP_222681515.1	WP_012668256.1	WP_012441598.1
4	4	0.962	*	WP_225702018.1	WP_062743545.1	WP_012668257.1	WP_012441599.1
4	4	0.82	*	WP_225702017.1	WP_118664255.1	WP_012668259.1	WP_012441601.1
4	4	0.868	*	WP_209502350.1	WP_062743548.1	WP_012668260.1	WP_012441602.1
5	5	0.966	WP_013201856.1	WP_067430089.1	WP_062743550.1	WP_012668261.1	WP_012441603.1
5	5	0.95	WP_013201854.1	WP_067430086.1	WP_062743552.1	WP_012668263.1	WP_012441605.1
5	5	0.897	WP_013201853.1	WP_067430083.1	WP_062743553.1	WP_012668264.1	WP_012441606.1
4	4	0.839	*	WP_067430080.1	WP_062743554.1	WP_012668265.1	WP_012441607.1
5	5	0.885	WP_013201852.1	WP_187486654.1	WP_118664256.1	WP_012668266.1	WP_012441608.1
5	5	0.91	WP_013202684.1	WP_067431724.1	WP_062743703.1	WP_012668414.1	WP_012441723.1
5	5	0.917	WP_013201850.1	WP_067430071.1	WP_062743557.1	WP_014544146.1	WP_012441610.1
5	5	0.894	WP_013201849.1	WP_067430067.1	WP_118665792.1	WP_012668269.1	WP_012441611.1
5	5	0.932	WP_013201848.1	WP_209499836.1	WP_118664257.1	WP_012668270.1	WP_012441612.1
5	5	0.811	WP_041691986.1	WP_225700718.1	WP_072277410.1	WP_012668272.1	WP_012441614.1
5	5	0.933	WP_013201844.1	WP_067430050.1	WP_062743560.1	WP_012668273.1	WP_012441615.1
5	5	0.416	WP_013201823.1	WP_209502705.1	WP_062743562.1	WP_012668275.1	WP_012441616.1
5	5	0.944	WP_013201822.1	WP_187486649.1	WP_222681518.1	WP_012668276.1	WP_012441617.1
3	3	0.646	*	WP_187486773.1	WP_222682187.1	*	WP_012441619.1
3	3	0.7	*	WP_225701545.1	WP_245006728.1	*	WP_012441620.1
3	3	0.688	*	WP_225701544.1	WP_062742633.1	*	WP_012441621.1
4	4	0.931	*	WP_067436567.1	WP_062743593.1	WP_012668307.1	WP_012441650.1
4	4	0.927	*	WP_067436565.1	WP_222681528.1	WP_012668308.1	WP_012441651.1
5	5	0.916	WP_013201780.1	WP_225701943.1	WP_222682327.1	WP_012668311.1	WP_012441654.1
5	5	0.89	WP_013201762.1	WP_187485463.1	WP_062743597.1	WP_012668312.1	WP_012441655.1
5	5	0.959	WP_013201760.1	WP_067435962.1	WP_062743599.1	WP_012668314.1	WP_012441657.1
5	5	0.914	WP_013201646.1	WP_225700780.1	WP_062743762.1	WP_104945042.1	WP_012441775.1
5	5	0.904	WP_013201663.1	WP_067429585.1	WP_062743745.1	WP_104945050.1	WP_012441760.1
5	5	0.889	WP_013201662.1	WP_067429582.1	WP_062743746.1	WP_014543980.1	WP_012441761.1
5	5	0.926	WP_013201661.1	WP_187486319.1	WP_062743747.1	WP_104945049.1	WP_012441762.1
5	5	0.938	WP_013201660.1	WP_067429576.1	WP_062743748.1	WP_012668455.1	WP_012441763.1
5	5	0.834	WP_013201659.1	WP_067435250.1	WP_062743749.1	WP_104945048.1	WP_012441764.1
5	5	0.762	WP_013201658.1	WP_067429573.1	WP_062743750.1	WP_014543978.1	WP_012441765.1
5	5	0.77	WP_013201657.1	WP_067429571.1	WP_062743751.1	WP_104945047.1	WP_012441766.1
5	5	0.957	WP_013201655.1	WP_067429568.1	WP_062743752.1	WP_104945046.1	WP_012441767.1
5	5	0.829	WP_013201653.1	WP_187488207.1	WP_187509714.1	WP_012668461.1	WP_012441768.1
5	5	0.9	WP_013201652.1	WP_067429561.1	WP_062743755.1	WP_104945044.1	WP_012441769.1
5	5	0.953	WP_013201651.1	WP_067429558.1	WP_062743756.1	WP_012668464.1	WP_012441770.1
5	5	0.912	WP_013201650.1	WP_187486323.1	WP_062743757.1	WP_083791977.1	WP_012441771.1
5	5	0.932	WP_013201649.1	WP_187488206.1	WP_222681563.1	WP_104945043.1	WP_012441772.1
5	5	0.852	WP_013201648.1	WP_067429549.1	WP_062743759.1	WP_012668467.1	WP_012441773.1
5	5	0.963	WP_013201647.1	WP_067429541.1	WP_062743761.1	WP_012668468.1	WP_012441774.1
5	5	0.964	WP_013201664.1	WP_225700779.1	WP_062743744.1	WP_012668451.1	WP_012441759.1
4	4	0.945	WP_013201645.1	WP_067429535.1	WP_062743763.1	*	WP_012441776.1
5	5	0.906	WP_013201644.1	WP_067429532.1	WP_062743764.1	WP_012668471.1	WP_012441777.1
5	5	0.956	WP_013201642.1	WP_187486327.1	WP_062743765.1	WP_012668473.1	WP_012441779.1
5	5	0.968	WP_013201640.1	WP_067429520.1	WP_062743766.1	WP_014543963.1	WP_012441780.1
5	5	0.911	WP_013201635.1	WP_067429508.1	WP_062743775.1	WP_012668475.1	WP_012441781.1
5	5	0.967	WP_013201633.1	WP_187488202.1	WP_062743776.1	WP_012668477.1	WP_012441784.1
5	5	0.862	WP_013201631.1	WP_225700783.1	WP_062743777.1	WP_012668479.1	WP_012441786.1
5	5	0.951	WP_013201630.1	WP_187488200.1	WP_222681566.1	WP_012668480.1	WP_012441787.1
5	5	0.943	WP_013201610.1	WP_225700791.1	WP_118664320.1	WP_104945041.1	WP_012441788.1
5	5	0.909	WP_013201609.1	WP_225700792.1	WP_222681567.1	WP_104945040.1	WP_012441789.1
5	5	0.916	WP_013201608.1	WP_067429430.1	WP_118664321.1	WP_012668483.1	WP_012441790.1
5	5	0.734	WP_013201607.1	WP_225700793.1	WP_062743785.1	WP_012668484.1	WP_012441791.1
5	5	0.946	WP_013201601.1	WP_067429402.1	WP_062743794.1	WP_012668493.1	WP_012441793.1
5	5	0.947	WP_013201600.1	WP_067429399.1	WP_062743795.1	WP_012668494.1	WP_012441794.1
5	5	0.925	WP_013201599.1	WP_067429397.1	WP_062743796.1	WP_012668495.1	WP_012441795.1
5	5	0.943	WP_013201684.1	WP_225700771.1	WP_062743725.1	WP_012668434.1	WP_012441741.1
5	5	0.916	WP_013202685.1	WP_187486725.1	WP_062743704.1	WP_012668415.1	WP_012441724.1
5	5	0.892	WP_013202686.1	WP_067431729.1	WP_062743705.1	WP_104945055.1	WP_012441725.1
5	5	0.916	WP_013202689.1	WP_071852512.1	WP_017800079.1	WP_004157155.1	WP_012441726.1
5	5	0.843	WP_013202691.1	WP_225701568.1	WP_222681554.1	WP_012668419.1	WP_012441728.1
5	5	0.945	WP_013202692.1	WP_209501835.1	WP_137268857.1	WP_012668420.1	WP_012441729.1
5	5	0.964	WP_013201696.1	WP_187486424.1	WP_062743711.1	WP_104945054.1	WP_012441730.1
5	5	0.901	WP_013201695.1	WP_067429674.1	WP_062743712.1	WP_012668423.1	WP_012441731.1
5	5	0.963	WP_013201694.1	WP_067429671.1	WP_118664304.1	WP_041474119.1	WP_012441732.1
5	5	0.6	WP_231853685.1	WP_225700766.1	WP_222682330.1	WP_104945053.1	WP_012441734.1
5	5	0.835	WP_013201690.1	WP_187488218.1	WP_062743891.1	WP_012668428.1	WP_012441735.1
5	5	0.847	WP_013201689.1	WP_225700767.1	WP_062743717.1	WP_012668429.1	WP_012441736.1
5	5	0.923	WP_013201688.1	WP_067429657.1	WP_062743718.1	WP_012668430.1	WP_012441737.1
5	5	0.913	WP_013201687.1	WP_187486311.1	WP_062743722.1	WP_012668431.1	WP_012441738.1
5	5	0.961	WP_013201686.1	WP_225700769.1	WP_062743723.1	WP_012668432.1	WP_012441739.1
5	5	0.863	WP_013201685.1	WP_225700770.1	WP_222681557.1	WP_012668433.1	WP_012441740.1
5	5	0.924	WP_013201882.1	WP_209499815.1	WP_118664239.1	WP_012668245.1	WP_012441588.1
5	5	0.79	WP_013201682.1	WP_067429636.1	WP_062743727.1	WP_012668436.1	WP_012441743.1
5	5	0.926	WP_013201681.1	WP_067429634.1	WP_062743728.1	WP_014539067.1	WP_012441744.1
5	5	0.934	WP_013201679.1	WP_067429626.1	WP_062743729.1	WP_012668438.1	WP_012441745.1
5	5	0.943	WP_013201678.1	WP_225700772.1	WP_222681558.1	WP_012668439.1	WP_012441746.1
5	5	0.939	WP_013201677.1	WP_225700773.1	WP_062743731.1	WP_012668440.1	WP_012441747.1
5	5	0.922	WP_013201676.1	WP_225700774.1	WP_222681559.1	WP_012668441.1	WP_012441748.1
5	5	0.969	WP_013201674.1	WP_067429614.1	WP_062743733.1	WP_004169475.1	WP_012441749.1
5	5	0.959	WP_013201672.1	WP_067429611.1	WP_062743735.1	WP_012668443.1	WP_012441751.1
5	5	0.877	WP_013201671.1	WP_225700776.1	WP_222681561.1	WP_104945052.1	WP_012441752.1
5	5	0.815	WP_013201670.1	WP_067429605.1	WP_062743738.1	WP_012668445.1	WP_012441753.1
5	5	0.803	WP_013201669.1	WP_225700777.1	WP_062743739.1	WP_012668446.1	WP_012441754.1
5	5	0.858	WP_013201668.1	WP_225700778.1	WP_062743740.1	WP_012668447.1	WP_012441755.1
5	5	0.981	WP_173363027.1	WP_067429596.1	WP_174522410.1	WP_104945051.1	WP_012441756.1
5	5	0.936	WP_013201666.1	WP_067429594.1	WP_062743742.1	WP_012668449.1	WP_012441757.1
5	5	0.963	WP_013201665.1	WP_067429591.1	WP_062743743.1	WP_012668450.1	WP_012441758.1
5	5	0.473	WP_013202117.1	WP_225701666.1	WP_222681439.1	WP_012668115.1	WP_012441442.1
2	2	1	*	WP_209502246.1	*	*	WP_012441457.1
2	2	1	*	WP_209499823.1	*	*	WP_012441455.1
3	3	0.6	WP_013204184.1	WP_225700715.1	*	*	WP_012441454.1
3	3	0.814	*	WP_225700713.1	WP_118664246.1	*	WP_012441452.1
5	5	0.916	WP_013201475.1	WP_067435230.1	WP_062743246.1	WP_012668120.1	WP_012441447.1
4	4	0.962	*	WP_067436549.1	WP_222681440.1	WP_012668119.1	WP_012441446.1
5	5	0.663	WP_013202119.1	WP_225701667.1	WP_118664106.1	WP_012668117.1	WP_012441444.1
5	5	0.776	WP_013202118.1	WP_187485976.1	WP_187509136.1	WP_226060735.1	WP_012441443.1
4	4	0.71	WP_013200081.1	WP_225701812.1	WP_222681459.1	*	WP_012441464.1
5	5	0.649	WP_013202074.1	WP_187486102.1	WP_062743231.1	WP_012668114.1	WP_012441441.1
5	5	0.695	WP_013202073.1	WP_187485977.1	WP_062743230.1	WP_012668113.1	WP_012441440.1
5	5	0.58	WP_013202070.1	WP_187488454.1	WP_062743222.1	WP_012668112.1	WP_012441439.1
4	4	0.967	*	WP_225700848.1	WP_222681433.1	WP_012668109.1	WP_012441437.1
5	5	0.908	WP_013202060.1	WP_067430717.1	WP_222681432.1	WP_012668108.1	WP_012441436.1
5	5	0.912	WP_173363013.1	WP_187485991.1	WP_062743343.1	WP_012668107.1	WP_012441434.1
5	5	0.885	WP_013202044.1	WP_225701658.1	WP_118664178.1	WP_012668106.1	WP_012441433.1
4	4	0.891	WP_013202039.1	WP_225701744.1	WP_222681475.1	*	WP_012441429.1
5	5	0.769	WP_013202588.1	WP_225702069.1	WP_062743308.1	WP_014539458.1	WP_012441467.1
5	5	0.808	WP_013203781.1	WP_067433578.1	WP_062743311.1	WP_012668135.1	WP_012441470.1
4	4	0.648	WP_013202108.1	WP_225701676.1	WP_062743314.1	*	WP_012441476.1
4	4	0.831	WP_013202285.1	WP_067435550.1	WP_062743327.1	*	WP_012441481.1
5	5	0.914	WP_013202287.1	WP_225701746.1	WP_118664167.1	WP_012668144.1	WP_012441483.1
5	5	0.933	WP_013202293.1	WP_067430483.1	WP_062743198.1	WP_012668147.1	WP_012441486.1
5	5	0.688	WP_013202014.1	WP_225701702.1	WP_062743420.1	WP_012668148.1	WP_012441487.1
5	5	0.899	WP_013202012.1	WP_225701703.1	WP_222681428.1	WP_012668150.1	WP_012441489.1
5	5	0.858	WP_013202007.1	WP_187485928.1	WP_222681483.1	WP_012668151.1	WP_012441492.1
5	5	0.857	WP_013202006.1	WP_067430454.1	WP_062743386.1	WP_012668152.1	WP_012441493.1
5	5	0.894	WP_013202005.1	WP_067430451.1	WP_062743387.1	WP_012668153.1	WP_012441494.1
5	5	0.949	WP_013202004.1	WP_225701704.1	WP_118664193.1	WP_012668154.1	WP_012441495.1
5	5	0.91	WP_013201995.1	WP_209502136.1	WP_187509213.1	WP_012668157.1	WP_012441498.1
5	5	0.816	WP_013201993.1	WP_225701707.1	WP_062743394.1	WP_012668158.1	WP_012441499.1
5	5	0.954	WP_013201989.1	WP_225701709.1	WP_118664198.1	WP_012668159.1	WP_012441500.1
5	5	0.927	WP_013202304.1	WP_067430839.1	WP_222681480.1	WP_012668033.1	WP_012441395.1
5	5	0.968	WP_013202328.1	WP_067430898.1	WP_062743176.1	WP_012668009.1	WP_012441374.1
5	5	0.947	WP_013202327.1	WP_225701648.1	WP_222682278.1	WP_012668010.1	WP_012441375.1
5	5	0.925	WP_013202326.1	WP_067435335.1	WP_062743178.1	WP_012668012.1	WP_012441377.1
5	5	0.836	WP_013202325.1	WP_067430879.1	WP_062743179.1	WP_012668013.1	WP_012441378.1
5	5	0.925	WP_013202324.1	WP_067430876.1	WP_062743180.1	WP_012668014.1	WP_012441379.1
5	5	0.867	WP_013202323.1	WP_067430873.1	WP_062743181.1	WP_012668015.1	WP_012441380.1
5	5	0.78	WP_013202322.1	WP_187486011.1	WP_062743182.1	WP_012668016.1	WP_012441381.1
5	5	0.965	WP_013202321.1	WP_067430867.1	WP_062743419.1	WP_012668017.1	WP_012441382.1
5	5	0.954	WP_013202320.1	WP_225701649.1	WP_062743183.1	WP_012668018.1	WP_012441383.1
5	5	0.953	WP_013202319.1	WP_225701650.1	WP_062743184.1	WP_012668019.1	WP_012441384.1
5	5	0.923	WP_013202318.1	WP_067430858.1	WP_062743185.1	WP_012668020.1	WP_012441385.1
5	5	0.975	WP_013202311.1	WP_187486009.1	WP_062743186.1	WP_012668021.1	WP_012441386.1
5	5	0.949	WP_231853717.1	WP_225701651.1	WP_187509118.1	WP_012668022.1	WP_012441387.1
5	5	0.912	WP_013202307.1	WP_067430845.1	WP_137268570.1	WP_012668029.1	WP_012441392.1
5	5	0.648	WP_013202305.1	WP_067430842.1	WP_062743381.1	WP_012668031.1	WP_012441394.1
5	5	0.93	WP_013201988.1	WP_067430426.1	WP_062743400.1	WP_012668160.1	WP_012441501.1
5	5	0.829	WP_013202303.1	WP_067430837.1	WP_062743379.1	WP_012668034.1	WP_012441396.1
5	5	0.917	WP_013202299.1	WP_187486005.1	WP_062743377.1	WP_012668036.1	WP_012441398.1
5	5	0.894	WP_013202298.1	WP_225701652.1	WP_222682324.1	WP_012668037.1	WP_012441399.1
5	5	0.945	WP_041692015.1	WP_067430824.1	WP_062743375.1	WP_014538888.1	WP_012441400.1
5	5	0.754	WP_041692014.1	WP_225701653.1	WP_062743374.1	WP_012668039.1	WP_012441401.1
5	5	0.898	WP_013202295.1	WP_067430818.1	WP_062743373.1	WP_012668041.1	WP_012441409.1
5	5	0.968	WP_013202294.1	WP_225701654.1	WP_222681479.1	WP_012668042.1	WP_012441410.1
5	5	0.945	WP_013202016.1	WP_067430812.1	WP_062743371.1	WP_012668044.1	WP_012441412.1
5	5	0.956	WP_013202019.1	WP_067430806.1	WP_062743368.1	WP_012668047.1	WP_012441416.1
5	5	0.932	WP_013202020.1	WP_067430803.1	WP_187509203.1	WP_012668089.1	WP_012441417.1
5	5	0.97	WP_013202022.1	WP_209502049.1	WP_062743365.1	WP_012668091.1	WP_012441419.1
5	5	0.929	WP_013202023.1	WP_187485997.1	WP_062743364.1	WP_012668092.1	WP_012441420.1
5	5	0.952	WP_013202026.1	WP_067430785.1	WP_062743358.1	WP_104945073.1	WP_012441424.1
5	5	0.917	WP_013202029.1	WP_225701743.1	WP_062743357.1	WP_012668097.1	WP_012441425.1
4	4	0.899	WP_013202034.1	WP_067430779.1	WP_118665782.1	*	WP_012441426.1
5	5	0.934	WP_013201905.1	WP_067430241.1	WP_062743499.1	WP_004157375.1	WP_012441569.1
5	5	0.961	WP_013201926.1	WP_225700696.1	WP_062743475.1	WP_012668206.1	WP_012441548.1
5	5	0.929	WP_013201924.1	WP_067430293.1	WP_062743477.1	WP_012668208.1	WP_012441550.1
